[0]=K0; [1]=0; [2]=0; [3]=0; [4]=0; [5]=0; [6]=0; [7]=0; [8]=0; [9]=0; [10]=0; [11]=0; [12]=0; [13]=0; [14]=0; [15]=0; [16]=0; [17]=0; [18]=0; [19]=0; [20]=0; [21]=0
[0]=K0 ⊕ K1 ⊕ K22; [1]=K0 ⊕ K21; [2]=K20; [3]=K19; [4]=K18; [5]=K17; [6]=K16; [7]=K15; [8]=K14; [9]=K13; [10]=K12; [11]=K11; [12]=K10; [13]=K9; [14]=K8; [15]=K7; [16]=K6; [17]=K5; [18]=K4; [19]=K3; [20]=K2; [21]=K1
[0]=K1 ⊕ K2 ⊕ K23; [1]=K0 ⊕ K1 ⊕ K22; [2]=K0 ⊕ K21; [3]=K20; [4]=K19; [5]=K18; [6]=K17; [7]=K16; [8]=K15; [9]=K14; [10]=K13; [11]=K12; [12]=K11; [13]=K10; [14]=K9; [15]=K8; [16]=K7; [17]=K6; [18]=K5; [19]=K4; [20]=K3; [21]=K2
[0]=K2 ⊕ K3 ⊕ K24; [1]=K1 ⊕ K2 ⊕ K23; [2]=K0 ⊕ K1 ⊕ K22; [3]=K0 ⊕ K21; [4]=K20; [5]=K19; [6]=K18; [7]=K17; [8]=K16; [9]=K15; [10]=K14; [11]=K13; [12]=K12; [13]=K11; [14]=K10; [15]=K9; [16]=K8; [17]=K7; [18]=K6; [19]=K5; [20]=K4; [21]=K3
[0]=K3 ⊕ K4 ⊕ K25; [1]=K2 ⊕ K3 ⊕ K24; [2]=K1 ⊕ K2 ⊕ K23; [3]=K0 ⊕ K1 ⊕ K22; [4]=K0 ⊕ K21; [5]=K20; [6]=K19; [7]=K18; [8]=K17; [9]=K16; [10]=K15; [11]=K14; [12]=K13; [13]=K12; [14]=K11; [15]=K10; [16]=K9; [17]=K8; [18]=K7; [19]=K6; [20]=K5; [21]=K4
[0]=K4 ⊕ K5 ⊕ K26; [1]=K3 ⊕ K4 ⊕ K25; [2]=K2 ⊕ K3 ⊕ K24; [3]=K1 ⊕ K2 ⊕ K23; [4]=K0 ⊕ K1 ⊕ K22; [5]=K0 ⊕ K21; [6]=K20; [7]=K19; [8]=K18; [9]=K17; [10]=K16; [11]=K15; [12]=K14; [13]=K13; [14]=K12; [15]=K11; [16]=K10; [17]=K9; [18]=K8; [19]=K7; [20]=K6; [21]=K5
[0]=K5 ⊕ K6 ⊕ K27; [1]=K4 ⊕ K5 ⊕ K26; [2]=K3 ⊕ K4 ⊕ K25; [3]=K2 ⊕ K3 ⊕ K24; [4]=K1 ⊕ K2 ⊕ K23; [5]=K0 ⊕ K1 ⊕ K22; [6]=K0 ⊕ K21; [7]=K20; [8]=K19; [9]=K18; [10]=K17; [11]=K16; [12]=K15; [13]=K14; [14]=K13; [15]=K12; [16]=K11; [17]=K10; [18]=K9; [19]=K8; [20]=K7; [21]=K6
[0]=K6 ⊕ K7 ⊕ K28; [1]=K5 ⊕ K6 ⊕ K27; [2]=K4 ⊕ K5 ⊕ K26; [3]=K3 ⊕ K4 ⊕ K25; [4]=K2 ⊕ K3 ⊕ K24; [5]=K1 ⊕ K2 ⊕ K23; [6]=K0 ⊕ K1 ⊕ K22; [7]=K0 ⊕ K21; [8]=K20; [9]=K19; [10]=K18; [11]=K17; [12]=K16; [13]=K15; [14]=K14; [15]=K13; [16]=K12; [17]=K11; [18]=K10; [19]=K9; [20]=K8; [21]=K7
[0]=K7 ⊕ K8 ⊕ K29; [1]=K6 ⊕ K7 ⊕ K28; [2]=K5 ⊕ K6 ⊕ K27; [3]=K4 ⊕ K5 ⊕ K26; [4]=K3 ⊕ K4 ⊕ K25; [5]=K2 ⊕ K3 ⊕ K24; [6]=K1 ⊕ K2 ⊕ K23; [7]=K0 ⊕ K1 ⊕ K22; [8]=K0 ⊕ K21; [9]=K20; [10]=K19; [11]=K18; [12]=K17; [13]=K16; [14]=K15; [15]=K14; [16]=K13; [17]=K12; [18]=K11; [19]=K10; [20]=K9; [21]=K8
[0]=K8 ⊕ K9 ⊕ K30; [1]=K7 ⊕ K8 ⊕ K29; [2]=K6 ⊕ K7 ⊕ K28; [3]=K5 ⊕ K6 ⊕ K27; [4]=K4 ⊕ K5 ⊕ K26; [5]=K3 ⊕ K4 ⊕ K25; [6]=K2 ⊕ K3 ⊕ K24; [7]=K1 ⊕ K2 ⊕ K23; [8]=K0 ⊕ K1 ⊕ K22; [9]=K0 ⊕ K21; [10]=K20; [11]=K19; [12]=K18; [13]=K17; [14]=K16; [15]=K15; [16]=K14; [17]=K13; [18]=K12; [19]=K11; [20]=K10; [21]=K9
[0]=K9 ⊕ K10 ⊕ K31; [1]=K8 ⊕ K9 ⊕ K30; [2]=K7 ⊕ K8 ⊕ K29; [3]=K6 ⊕ K7 ⊕ K28; [4]=K5 ⊕ K6 ⊕ K27; [5]=K4 ⊕ K5 ⊕ K26; [6]=K3 ⊕ K4 ⊕ K25; [7]=K2 ⊕ K3 ⊕ K24; [8]=K1 ⊕ K2 ⊕ K23; [9]=K0 ⊕ K1 ⊕ K22; [10]=K0 ⊕ K21; [11]=K20; [12]=K19; [13]=K18; [14]=K17; [15]=K16; [16]=K15; [17]=K14; [18]=K13; [19]=K12; [20]=K11; [21]=K10
[0]=K10 ⊕ K11 ⊕ K32; [1]=K9 ⊕ K10 ⊕ K31; [2]=K8 ⊕ K9 ⊕ K30; [3]=K7 ⊕ K8 ⊕ K29; [4]=K6 ⊕ K7 ⊕ K28; [5]=K5 ⊕ K6 ⊕ K27; [6]=K4 ⊕ K5 ⊕ K26; [7]=K3 ⊕ K4 ⊕ K25; [8]=K2 ⊕ K3 ⊕ K24; [9]=K1 ⊕ K2 ⊕ K23; [10]=K0 ⊕ K1 ⊕ K22; [11]=K0 ⊕ K21; [12]=K20; [13]=K19; [14]=K18; [15]=K17; [16]=K16; [17]=K15; [18]=K14; [19]=K13; [20]=K12; [21]=K11
[0]=K11 ⊕ K12 ⊕ K33; [1]=K10 ⊕ K11 ⊕ K32; [2]=K9 ⊕ K10 ⊕ K31; [3]=K8 ⊕ K9 ⊕ K30; [4]=K7 ⊕ K8 ⊕ K29; [5]=K6 ⊕ K7 ⊕ K28; [6]=K5 ⊕ K6 ⊕ K27; [7]=K4 ⊕ K5 ⊕ K26; [8]=K3 ⊕ K4 ⊕ K25; [9]=K2 ⊕ K3 ⊕ K24; [10]=K1 ⊕ K2 ⊕ K23; [11]=K0 ⊕ K1 ⊕ K22; [12]=K0 ⊕ K21; [13]=K20; [14]=K19; [15]=K18; [16]=K17; [17]=K16; [18]=K15; [19]=K14; [20]=K13; [21]=K12
[0]=K12 ⊕ K13 ⊕ K34; [1]=K11 ⊕ K12 ⊕ K33; [2]=K10 ⊕ K11 ⊕ K32; [3]=K9 ⊕ K10 ⊕ K31; [4]=K8 ⊕ K9 ⊕ K30; [5]=K7 ⊕ K8 ⊕ K29; [6]=K6 ⊕ K7 ⊕ K28; [7]=K5 ⊕ K6 ⊕ K27; [8]=K4 ⊕ K5 ⊕ K26; [9]=K3 ⊕ K4 ⊕ K25; [10]=K2 ⊕ K3 ⊕ K24; [11]=K1 ⊕ K2 ⊕ K23; [12]=K0 ⊕ K1 ⊕ K22; [13]=K0 ⊕ K21; [14]=K20; [15]=K19; [16]=K18; [17]=K17; [18]=K16; [19]=K15; [20]=K14; [21]=K13
[0]=K13 ⊕ K14 ⊕ K35; [1]=K12 ⊕ K13 ⊕ K34; [2]=K11 ⊕ K12 ⊕ K33; [3]=K10 ⊕ K11 ⊕ K32; [4]=K9 ⊕ K10 ⊕ K31; [5]=K8 ⊕ K9 ⊕ K30; [6]=K7 ⊕ K8 ⊕ K29; [7]=K6 ⊕ K7 ⊕ K28; [8]=K5 ⊕ K6 ⊕ K27; [9]=K4 ⊕ K5 ⊕ K26; [10]=K3 ⊕ K4 ⊕ K25; [11]=K2 ⊕ K3 ⊕ K24; [12]=K1 ⊕ K2 ⊕ K23; [13]=K0 ⊕ K1 ⊕ K22; [14]=K0 ⊕ K21; [15]=K20; [16]=K19; [17]=K18; [18]=K17; [19]=K16; [20]=K15; [21]=K14
[0]=K14 ⊕ K15 ⊕ K36; [1]=K13 ⊕ K14 ⊕ K35; [2]=K12 ⊕ K13 ⊕ K34; [3]=K11 ⊕ K12 ⊕ K33; [4]=K10 ⊕ K11 ⊕ K32; [5]=K9 ⊕ K10 ⊕ K31; [6]=K8 ⊕ K9 ⊕ K30; [7]=K7 ⊕ K8 ⊕ K29; [8]=K6 ⊕ K7 ⊕ K28; [9]=K5 ⊕ K6 ⊕ K27; [10]=K4 ⊕ K5 ⊕ K26; [11]=K3 ⊕ K4 ⊕ K25; [12]=K2 ⊕ K3 ⊕ K24; [13]=K1 ⊕ K2 ⊕ K23; [14]=K0 ⊕ K1 ⊕ K22; [15]=K0 ⊕ K21; [16]=K20; [17]=K19; [18]=K18; [19]=K17; [20]=K16; [21]=K15
[0]=K15 ⊕ K16 ⊕ K37; [1]=K14 ⊕ K15 ⊕ K36; [2]=K13 ⊕ K14 ⊕ K35; [3]=K12 ⊕ K13 ⊕ K34; [4]=K11 ⊕ K12 ⊕ K33; [5]=K10 ⊕ K11 ⊕ K32; [6]=K9 ⊕ K10 ⊕ K31; [7]=K8 ⊕ K9 ⊕ K30; [8]=K7 ⊕ K8 ⊕ K29; [9]=K6 ⊕ K7 ⊕ K28; [10]=K5 ⊕ K6 ⊕ K27; [11]=K4 ⊕ K5 ⊕ K26; [12]=K3 ⊕ K4 ⊕ K25; [13]=K2 ⊕ K3 ⊕ K24; [14]=K1 ⊕ K2 ⊕ K23; [15]=K0 ⊕ K1 ⊕ K22; [16]=K0 ⊕ K21; [17]=K20; [18]=K19; [19]=K18; [20]=K17; [21]=K16
[0]=K16 ⊕ K17 ⊕ K38; [1]=K15 ⊕ K16 ⊕ K37; [2]=K14 ⊕ K15 ⊕ K36; [3]=K13 ⊕ K14 ⊕ K35; [4]=K12 ⊕ K13 ⊕ K34; [5]=K11 ⊕ K12 ⊕ K33; [6]=K10 ⊕ K11 ⊕ K32; [7]=K9 ⊕ K10 ⊕ K31; [8]=K8 ⊕ K9 ⊕ K30; [9]=K7 ⊕ K8 ⊕ K29; [10]=K6 ⊕ K7 ⊕ K28; [11]=K5 ⊕ K6 ⊕ K27; [12]=K4 ⊕ K5 ⊕ K26; [13]=K3 ⊕ K4 ⊕ K25; [14]=K2 ⊕ K3 ⊕ K24; [15]=K1 ⊕ K2 ⊕ K23; [16]=K0 ⊕ K1 ⊕ K22; [17]=K0 ⊕ K21; [18]=K20; [19]=K19; [20]=K18; [21]=K17
[0]=K17 ⊕ K18 ⊕ K39; [1]=K16 ⊕ K17 ⊕ K38; [2]=K15 ⊕ K16 ⊕ K37; [3]=K14 ⊕ K15 ⊕ K36; [4]=K13 ⊕ K14 ⊕ K35; [5]=K12 ⊕ K13 ⊕ K34; [6]=K11 ⊕ K12 ⊕ K33; [7]=K10 ⊕ K11 ⊕ K32; [8]=K9 ⊕ K10 ⊕ K31; [9]=K8 ⊕ K9 ⊕ K30; [10]=K7 ⊕ K8 ⊕ K29; [11]=K6 ⊕ K7 ⊕ K28; [12]=K5 ⊕ K6 ⊕ K27; [13]=K4 ⊕ K5 ⊕ K26; [14]=K3 ⊕ K4 ⊕ K25; [15]=K2 ⊕ K3 ⊕ K24; [16]=K1 ⊕ K2 ⊕ K23; [17]=K0 ⊕ K1 ⊕ K22; [18]=K0 ⊕ K21; [19]=K20; [20]=K19; [21]=K18
[0]=K18 ⊕ K19 ⊕ K40; [1]=K17 ⊕ K18 ⊕ K39; [2]=K16 ⊕ K17 ⊕ K38; [3]=K15 ⊕ K16 ⊕ K37; [4]=K14 ⊕ K15 ⊕ K36; [5]=K13 ⊕ K14 ⊕ K35; [6]=K12 ⊕ K13 ⊕ K34; [7]=K11 ⊕ K12 ⊕ K33; [8]=K10 ⊕ K11 ⊕ K32; [9]=K9 ⊕ K10 ⊕ K31; [10]=K8 ⊕ K9 ⊕ K30; [11]=K7 ⊕ K8 ⊕ K29; [12]=K6 ⊕ K7 ⊕ K28; [13]=K5 ⊕ K6 ⊕ K27; [14]=K4 ⊕ K5 ⊕ K26; [15]=K3 ⊕ K4 ⊕ K25; [16]=K2 ⊕ K3 ⊕ K24; [17]=K1 ⊕ K2 ⊕ K23; [18]=K0 ⊕ K1 ⊕ K22; [19]=K0 ⊕ K21; [20]=K20; [21]=K19
[0]=K19 ⊕ K20 ⊕ K41; [1]=K18 ⊕ K19 ⊕ K40; [2]=K17 ⊕ K18 ⊕ K39; [3]=K16 ⊕ K17 ⊕ K38; [4]=K15 ⊕ K16 ⊕ K37; [5]=K14 ⊕ K15 ⊕ K36; [6]=K13 ⊕ K14 ⊕ K35; [7]=K12 ⊕ K13 ⊕ K34; [8]=K11 ⊕ K12 ⊕ K33; [9]=K10 ⊕ K11 ⊕ K32; [10]=K9 ⊕ K10 ⊕ K31; [11]=K8 ⊕ K9 ⊕ K30; [12]=K7 ⊕ K8 ⊕ K29; [13]=K6 ⊕ K7 ⊕ K28; [14]=K5 ⊕ K6 ⊕ K27; [15]=K4 ⊕ K5 ⊕ K26; [16]=K3 ⊕ K4 ⊕ K25; [17]=K2 ⊕ K3 ⊕ K24; [18]=K1 ⊕ K2 ⊕ K23; [19]=K0 ⊕ K1 ⊕ K22; [20]=K0 ⊕ K21; [21]=K20
[0]=K0 ⊕ K20 ⊕ K21 ⊕ K42; [1]=K19 ⊕ K20 ⊕ K41; [2]=K18 ⊕ K19 ⊕ K40; [3]=K17 ⊕ K18 ⊕ K39; [4]=K16 ⊕ K17 ⊕ K38; [5]=K15 ⊕ K16 ⊕ K37; [6]=K14 ⊕ K15 ⊕ K36; [7]=K13 ⊕ K14 ⊕ K35; [8]=K12 ⊕ K13 ⊕ K34; [9]=K11 ⊕ K12 ⊕ K33; [10]=K10 ⊕ K11 ⊕ K32; [11]=K9 ⊕ K10 ⊕ K31; [12]=K8 ⊕ K9 ⊕ K30; [13]=K7 ⊕ K8 ⊕ K29; [14]=K6 ⊕ K7 ⊕ K28; [15]=K5 ⊕ K6 ⊕ K27; [16]=K4 ⊕ K5 ⊕ K26; [17]=K3 ⊕ K4 ⊕ K25; [18]=K2 ⊕ K3 ⊕ K24; [19]=K1 ⊕ K2 ⊕ K23; [20]=K0 ⊕ K1 ⊕ K22; [21]=K0 ⊕ K21
