[0]=K0; [1]=0; [2]=0; [3]=0; [4]=0; [5]=0; [6]=0; [7]=0; [8]=0; [9]=0; [10]=0; [11]=0; [12]=0; [13]=0; [14]=0; [15]=0; [16]=0; [17]=0; [18]=0; [19]=0; [20]=0; [21]=0
[0]=K1 ⊕ K21 ⊕ K22 ⊕ K43; [1]=K0 ⊕ K20 ⊕ K21 ⊕ K42; [2]=K19 ⊕ K20 ⊕ K41; [3]=K18 ⊕ K19 ⊕ K40; [4]=K17 ⊕ K18 ⊕ K39; [5]=K16 ⊕ K17 ⊕ K38; [6]=K15 ⊕ K16 ⊕ K37; [7]=K14 ⊕ K15 ⊕ K36; [8]=K13 ⊕ K14 ⊕ K35; [9]=K12 ⊕ K13 ⊕ K34; [10]=K11 ⊕ K12 ⊕ K33; [11]=K10 ⊕ K11 ⊕ K32; [12]=K9 ⊕ K10 ⊕ K31; [13]=K8 ⊕ K9 ⊕ K30; [14]=K7 ⊕ K8 ⊕ K29; [15]=K6 ⊕ K7 ⊕ K28; [16]=K5 ⊕ K6 ⊕ K27; [17]=K4 ⊕ K5 ⊕ K26; [18]=K3 ⊕ K4 ⊕ K25; [19]=K2 ⊕ K3 ⊕ K24; [20]=K1 ⊕ K2 ⊕ K23; [21]=K0 ⊕ K1 ⊕ K22
[0]=K0 ⊕ K2 ⊕ K22 ⊕ K23 ⊕ K44; [1]=K1 ⊕ K21 ⊕ K22 ⊕ K43; [2]=K0 ⊕ K20 ⊕ K21 ⊕ K42; [3]=K19 ⊕ K20 ⊕ K41; [4]=K18 ⊕ K19 ⊕ K40; [5]=K17 ⊕ K18 ⊕ K39; [6]=K16 ⊕ K17 ⊕ K38; [7]=K15 ⊕ K16 ⊕ K37; [8]=K14 ⊕ K15 ⊕ K36; [9]=K13 ⊕ K14 ⊕ K35; [10]=K12 ⊕ K13 ⊕ K34; [11]=K11 ⊕ K12 ⊕ K33; [12]=K10 ⊕ K11 ⊕ K32; [13]=K9 ⊕ K10 ⊕ K31; [14]=K8 ⊕ K9 ⊕ K30; [15]=K7 ⊕ K8 ⊕ K29; [16]=K6 ⊕ K7 ⊕ K28; [17]=K5 ⊕ K6 ⊕ K27; [18]=K4 ⊕ K5 ⊕ K26; [19]=K3 ⊕ K4 ⊕ K25; [20]=K2 ⊕ K3 ⊕ K24; [21]=K1 ⊕ K2 ⊕ K23
[0]=K1 ⊕ K3 ⊕ K23 ⊕ K24 ⊕ K45; [1]=K0 ⊕ K2 ⊕ K22 ⊕ K23 ⊕ K44; [2]=K1 ⊕ K21 ⊕ K22 ⊕ K43; [3]=K0 ⊕ K20 ⊕ K21 ⊕ K42; [4]=K19 ⊕ K20 ⊕ K41; [5]=K18 ⊕ K19 ⊕ K40; [6]=K17 ⊕ K18 ⊕ K39; [7]=K16 ⊕ K17 ⊕ K38; [8]=K15 ⊕ K16 ⊕ K37; [9]=K14 ⊕ K15 ⊕ K36; [10]=K13 ⊕ K14 ⊕ K35; [11]=K12 ⊕ K13 ⊕ K34; [12]=K11 ⊕ K12 ⊕ K33; [13]=K10 ⊕ K11 ⊕ K32; [14]=K9 ⊕ K10 ⊕ K31; [15]=K8 ⊕ K9 ⊕ K30; [16]=K7 ⊕ K8 ⊕ K29; [17]=K6 ⊕ K7 ⊕ K28; [18]=K5 ⊕ K6 ⊕ K27; [19]=K4 ⊕ K5 ⊕ K26; [20]=K3 ⊕ K4 ⊕ K25; [21]=K2 ⊕ K3 ⊕ K24
[0]=K2 ⊕ K4 ⊕ K24 ⊕ K25 ⊕ K46; [1]=K1 ⊕ K3 ⊕ K23 ⊕ K24 ⊕ K45; [2]=K0 ⊕ K2 ⊕ K22 ⊕ K23 ⊕ K44; [3]=K1 ⊕ K21 ⊕ K22 ⊕ K43; [4]=K0 ⊕ K20 ⊕ K21 ⊕ K42; [5]=K19 ⊕ K20 ⊕ K41; [6]=K18 ⊕ K19 ⊕ K40; [7]=K17 ⊕ K18 ⊕ K39; [8]=K16 ⊕ K17 ⊕ K38; [9]=K15 ⊕ K16 ⊕ K37; [10]=K14 ⊕ K15 ⊕ K36; [11]=K13 ⊕ K14 ⊕ K35; [12]=K12 ⊕ K13 ⊕ K34; [13]=K11 ⊕ K12 ⊕ K33; [14]=K10 ⊕ K11 ⊕ K32; [15]=K9 ⊕ K10 ⊕ K31; [16]=K8 ⊕ K9 ⊕ K30; [17]=K7 ⊕ K8 ⊕ K29; [18]=K6 ⊕ K7 ⊕ K28; [19]=K5 ⊕ K6 ⊕ K27; [20]=K4 ⊕ K5 ⊕ K26; [21]=K3 ⊕ K4 ⊕ K25
[0]=K3 ⊕ K5 ⊕ K25 ⊕ K26 ⊕ K47; [1]=K2 ⊕ K4 ⊕ K24 ⊕ K25 ⊕ K46; [2]=K1 ⊕ K3 ⊕ K23 ⊕ K24 ⊕ K45; [3]=K0 ⊕ K2 ⊕ K22 ⊕ K23 ⊕ K44; [4]=K1 ⊕ K21 ⊕ K22 ⊕ K43; [5]=K0 ⊕ K20 ⊕ K21 ⊕ K42; [6]=K19 ⊕ K20 ⊕ K41; [7]=K18 ⊕ K19 ⊕ K40; [8]=K17 ⊕ K18 ⊕ K39; [9]=K16 ⊕ K17 ⊕ K38; [10]=K15 ⊕ K16 ⊕ K37; [11]=K14 ⊕ K15 ⊕ K36; [12]=K13 ⊕ K14 ⊕ K35; [13]=K12 ⊕ K13 ⊕ K34; [14]=K11 ⊕ K12 ⊕ K33; [15]=K10 ⊕ K11 ⊕ K32; [16]=K9 ⊕ K10 ⊕ K31; [17]=K8 ⊕ K9 ⊕ K30; [18]=K7 ⊕ K8 ⊕ K29; [19]=K6 ⊕ K7 ⊕ K28; [20]=K5 ⊕ K6 ⊕ K27; [21]=K4 ⊕ K5 ⊕ K26
[0]=K4 ⊕ K6 ⊕ K26 ⊕ K27 ⊕ K48; [1]=K3 ⊕ K5 ⊕ K25 ⊕ K26 ⊕ K47; [2]=K2 ⊕ K4 ⊕ K24 ⊕ K25 ⊕ K46; [3]=K1 ⊕ K3 ⊕ K23 ⊕ K24 ⊕ K45; [4]=K0 ⊕ K2 ⊕ K22 ⊕ K23 ⊕ K44; [5]=K1 ⊕ K21 ⊕ K22 ⊕ K43; [6]=K0 ⊕ K20 ⊕ K21 ⊕ K42; [7]=K19 ⊕ K20 ⊕ K41; [8]=K18 ⊕ K19 ⊕ K40; [9]=K17 ⊕ K18 ⊕ K39; [10]=K16 ⊕ K17 ⊕ K38; [11]=K15 ⊕ K16 ⊕ K37; [12]=K14 ⊕ K15 ⊕ K36; [13]=K13 ⊕ K14 ⊕ K35; [14]=K12 ⊕ K13 ⊕ K34; [15]=K11 ⊕ K12 ⊕ K33; [16]=K10 ⊕ K11 ⊕ K32; [17]=K9 ⊕ K10 ⊕ K31; [18]=K8 ⊕ K9 ⊕ K30; [19]=K7 ⊕ K8 ⊕ K29; [20]=K6 ⊕ K7 ⊕ K28; [21]=K5 ⊕ K6 ⊕ K27
[0]=K5 ⊕ K7 ⊕ K27 ⊕ K28 ⊕ K49; [1]=K4 ⊕ K6 ⊕ K26 ⊕ K27 ⊕ K48; [2]=K3 ⊕ K5 ⊕ K25 ⊕ K26 ⊕ K47; [3]=K2 ⊕ K4 ⊕ K24 ⊕ K25 ⊕ K46; [4]=K1 ⊕ K3 ⊕ K23 ⊕ K24 ⊕ K45; [5]=K0 ⊕ K2 ⊕ K22 ⊕ K23 ⊕ K44; [6]=K1 ⊕ K21 ⊕ K22 ⊕ K43; [7]=K0 ⊕ K20 ⊕ K21 ⊕ K42; [8]=K19 ⊕ K20 ⊕ K41; [9]=K18 ⊕ K19 ⊕ K40; [10]=K17 ⊕ K18 ⊕ K39; [11]=K16 ⊕ K17 ⊕ K38; [12]=K15 ⊕ K16 ⊕ K37; [13]=K14 ⊕ K15 ⊕ K36; [14]=K13 ⊕ K14 ⊕ K35; [15]=K12 ⊕ K13 ⊕ K34; [16]=K11 ⊕ K12 ⊕ K33; [17]=K10 ⊕ K11 ⊕ K32; [18]=K9 ⊕ K10 ⊕ K31; [19]=K8 ⊕ K9 ⊕ K30; [20]=K7 ⊕ K8 ⊕ K29; [21]=K6 ⊕ K7 ⊕ K28
[0]=K6 ⊕ K8 ⊕ K28 ⊕ K29 ⊕ K50; [1]=K5 ⊕ K7 ⊕ K27 ⊕ K28 ⊕ K49; [2]=K4 ⊕ K6 ⊕ K26 ⊕ K27 ⊕ K48; [3]=K3 ⊕ K5 ⊕ K25 ⊕ K26 ⊕ K47; [4]=K2 ⊕ K4 ⊕ K24 ⊕ K25 ⊕ K46; [5]=K1 ⊕ K3 ⊕ K23 ⊕ K24 ⊕ K45; [6]=K0 ⊕ K2 ⊕ K22 ⊕ K23 ⊕ K44; [7]=K1 ⊕ K21 ⊕ K22 ⊕ K43; [8]=K0 ⊕ K20 ⊕ K21 ⊕ K42; [9]=K19 ⊕ K20 ⊕ K41; [10]=K18 ⊕ K19 ⊕ K40; [11]=K17 ⊕ K18 ⊕ K39; [12]=K16 ⊕ K17 ⊕ K38; [13]=K15 ⊕ K16 ⊕ K37; [14]=K14 ⊕ K15 ⊕ K36; [15]=K13 ⊕ K14 ⊕ K35; [16]=K12 ⊕ K13 ⊕ K34; [17]=K11 ⊕ K12 ⊕ K33; [18]=K10 ⊕ K11 ⊕ K32; [19]=K9 ⊕ K10 ⊕ K31; [20]=K8 ⊕ K9 ⊕ K30; [21]=K7 ⊕ K8 ⊕ K29
[0]=K7 ⊕ K9 ⊕ K29 ⊕ K30 ⊕ K51; [1]=K6 ⊕ K8 ⊕ K28 ⊕ K29 ⊕ K50; [2]=K5 ⊕ K7 ⊕ K27 ⊕ K28 ⊕ K49; [3]=K4 ⊕ K6 ⊕ K26 ⊕ K27 ⊕ K48; [4]=K3 ⊕ K5 ⊕ K25 ⊕ K26 ⊕ K47; [5]=K2 ⊕ K4 ⊕ K24 ⊕ K25 ⊕ K46; [6]=K1 ⊕ K3 ⊕ K23 ⊕ K24 ⊕ K45; [7]=K0 ⊕ K2 ⊕ K22 ⊕ K23 ⊕ K44; [8]=K1 ⊕ K21 ⊕ K22 ⊕ K43; [9]=K0 ⊕ K20 ⊕ K21 ⊕ K42; [10]=K19 ⊕ K20 ⊕ K41; [11]=K18 ⊕ K19 ⊕ K40; [12]=K17 ⊕ K18 ⊕ K39; [13]=K16 ⊕ K17 ⊕ K38; [14]=K15 ⊕ K16 ⊕ K37; [15]=K14 ⊕ K15 ⊕ K36; [16]=K13 ⊕ K14 ⊕ K35; [17]=K12 ⊕ K13 ⊕ K34; [18]=K11 ⊕ K12 ⊕ K33; [19]=K10 ⊕ K11 ⊕ K32; [20]=K9 ⊕ K10 ⊕ K31; [21]=K8 ⊕ K9 ⊕ K30
[0]=K8 ⊕ K10 ⊕ K30 ⊕ K31 ⊕ K52; [1]=K7 ⊕ K9 ⊕ K29 ⊕ K30 ⊕ K51; [2]=K6 ⊕ K8 ⊕ K28 ⊕ K29 ⊕ K50; [3]=K5 ⊕ K7 ⊕ K27 ⊕ K28 ⊕ K49; [4]=K4 ⊕ K6 ⊕ K26 ⊕ K27 ⊕ K48; [5]=K3 ⊕ K5 ⊕ K25 ⊕ K26 ⊕ K47; [6]=K2 ⊕ K4 ⊕ K24 ⊕ K25 ⊕ K46; [7]=K1 ⊕ K3 ⊕ K23 ⊕ K24 ⊕ K45; [8]=K0 ⊕ K2 ⊕ K22 ⊕ K23 ⊕ K44; [9]=K1 ⊕ K21 ⊕ K22 ⊕ K43; [10]=K0 ⊕ K20 ⊕ K21 ⊕ K42; [11]=K19 ⊕ K20 ⊕ K41; [12]=K18 ⊕ K19 ⊕ K40; [13]=K17 ⊕ K18 ⊕ K39; [14]=K16 ⊕ K17 ⊕ K38; [15]=K15 ⊕ K16 ⊕ K37; [16]=K14 ⊕ K15 ⊕ K36; [17]=K13 ⊕ K14 ⊕ K35; [18]=K12 ⊕ K13 ⊕ K34; [19]=K11 ⊕ K12 ⊕ K33; [20]=K10 ⊕ K11 ⊕ K32; [21]=K9 ⊕ K10 ⊕ K31
[0]=K9 ⊕ K11 ⊕ K31 ⊕ K32 ⊕ K53; [1]=K8 ⊕ K10 ⊕ K30 ⊕ K31 ⊕ K52; [2]=K7 ⊕ K9 ⊕ K29 ⊕ K30 ⊕ K51; [3]=K6 ⊕ K8 ⊕ K28 ⊕ K29 ⊕ K50; [4]=K5 ⊕ K7 ⊕ K27 ⊕ K28 ⊕ K49; [5]=K4 ⊕ K6 ⊕ K26 ⊕ K27 ⊕ K48; [6]=K3 ⊕ K5 ⊕ K25 ⊕ K26 ⊕ K47; [7]=K2 ⊕ K4 ⊕ K24 ⊕ K25 ⊕ K46; [8]=K1 ⊕ K3 ⊕ K23 ⊕ K24 ⊕ K45; [9]=K0 ⊕ K2 ⊕ K22 ⊕ K23 ⊕ K44; [10]=K1 ⊕ K21 ⊕ K22 ⊕ K43; [11]=K0 ⊕ K20 ⊕ K21 ⊕ K42; [12]=K19 ⊕ K20 ⊕ K41; [13]=K18 ⊕ K19 ⊕ K40; [14]=K17 ⊕ K18 ⊕ K39; [15]=K16 ⊕ K17 ⊕ K38; [16]=K15 ⊕ K16 ⊕ K37; [17]=K14 ⊕ K15 ⊕ K36; [18]=K13 ⊕ K14 ⊕ K35; [19]=K12 ⊕ K13 ⊕ K34; [20]=K11 ⊕ K12 ⊕ K33; [21]=K10 ⊕ K11 ⊕ K32
[0]=K10 ⊕ K12 ⊕ K32 ⊕ K33 ⊕ K54; [1]=K9 ⊕ K11 ⊕ K31 ⊕ K32 ⊕ K53; [2]=K8 ⊕ K10 ⊕ K30 ⊕ K31 ⊕ K52; [3]=K7 ⊕ K9 ⊕ K29 ⊕ K30 ⊕ K51; [4]=K6 ⊕ K8 ⊕ K28 ⊕ K29 ⊕ K50; [5]=K5 ⊕ K7 ⊕ K27 ⊕ K28 ⊕ K49; [6]=K4 ⊕ K6 ⊕ K26 ⊕ K27 ⊕ K48; [7]=K3 ⊕ K5 ⊕ K25 ⊕ K26 ⊕ K47; [8]=K2 ⊕ K4 ⊕ K24 ⊕ K25 ⊕ K46; [9]=K1 ⊕ K3 ⊕ K23 ⊕ K24 ⊕ K45; [10]=K0 ⊕ K2 ⊕ K22 ⊕ K23 ⊕ K44; [11]=K1 ⊕ K21 ⊕ K22 ⊕ K43; [12]=K0 ⊕ K20 ⊕ K21 ⊕ K42; [13]=K19 ⊕ K20 ⊕ K41; [14]=K18 ⊕ K19 ⊕ K40; [15]=K17 ⊕ K18 ⊕ K39; [16]=K16 ⊕ K17 ⊕ K38; [17]=K15 ⊕ K16 ⊕ K37; [18]=K14 ⊕ K15 ⊕ K36; [19]=K13 ⊕ K14 ⊕ K35; [20]=K12 ⊕ K13 ⊕ K34; [21]=K11 ⊕ K12 ⊕ K33
[0]=K11 ⊕ K13 ⊕ K33 ⊕ K34 ⊕ K55; [1]=K10 ⊕ K12 ⊕ K32 ⊕ K33 ⊕ K54; [2]=K9 ⊕ K11 ⊕ K31 ⊕ K32 ⊕ K53; [3]=K8 ⊕ K10 ⊕ K30 ⊕ K31 ⊕ K52; [4]=K7 ⊕ K9 ⊕ K29 ⊕ K30 ⊕ K51; [5]=K6 ⊕ K8 ⊕ K28 ⊕ K29 ⊕ K50; [6]=K5 ⊕ K7 ⊕ K27 ⊕ K28 ⊕ K49; [7]=K4 ⊕ K6 ⊕ K26 ⊕ K27 ⊕ K48; [8]=K3 ⊕ K5 ⊕ K25 ⊕ K26 ⊕ K47; [9]=K2 ⊕ K4 ⊕ K24 ⊕ K25 ⊕ K46; [10]=K1 ⊕ K3 ⊕ K23 ⊕ K24 ⊕ K45; [11]=K0 ⊕ K2 ⊕ K22 ⊕ K23 ⊕ K44; [12]=K1 ⊕ K21 ⊕ K22 ⊕ K43; [13]=K0 ⊕ K20 ⊕ K21 ⊕ K42; [14]=K19 ⊕ K20 ⊕ K41; [15]=K18 ⊕ K19 ⊕ K40; [16]=K17 ⊕ K18 ⊕ K39; [17]=K16 ⊕ K17 ⊕ K38; [18]=K15 ⊕ K16 ⊕ K37; [19]=K14 ⊕ K15 ⊕ K36; [20]=K13 ⊕ K14 ⊕ K35; [21]=K12 ⊕ K13 ⊕ K34
[0]=K12 ⊕ K14 ⊕ K34 ⊕ K35 ⊕ K56; [1]=K11 ⊕ K13 ⊕ K33 ⊕ K34 ⊕ K55; [2]=K10 ⊕ K12 ⊕ K32 ⊕ K33 ⊕ K54; [3]=K9 ⊕ K11 ⊕ K31 ⊕ K32 ⊕ K53; [4]=K8 ⊕ K10 ⊕ K30 ⊕ K31 ⊕ K52; [5]=K7 ⊕ K9 ⊕ K29 ⊕ K30 ⊕ K51; [6]=K6 ⊕ K8 ⊕ K28 ⊕ K29 ⊕ K50; [7]=K5 ⊕ K7 ⊕ K27 ⊕ K28 ⊕ K49; [8]=K4 ⊕ K6 ⊕ K26 ⊕ K27 ⊕ K48; [9]=K3 ⊕ K5 ⊕ K25 ⊕ K26 ⊕ K47; [10]=K2 ⊕ K4 ⊕ K24 ⊕ K25 ⊕ K46; [11]=K1 ⊕ K3 ⊕ K23 ⊕ K24 ⊕ K45; [12]=K0 ⊕ K2 ⊕ K22 ⊕ K23 ⊕ K44; [13]=K1 ⊕ K21 ⊕ K22 ⊕ K43; [14]=K0 ⊕ K20 ⊕ K21 ⊕ K42; [15]=K19 ⊕ K20 ⊕ K41; [16]=K18 ⊕ K19 ⊕ K40; [17]=K17 ⊕ K18 ⊕ K39; [18]=K16 ⊕ K17 ⊕ K38; [19]=K15 ⊕ K16 ⊕ K37; [20]=K14 ⊕ K15 ⊕ K36; [21]=K13 ⊕ K14 ⊕ K35
[0]=K13 ⊕ K15 ⊕ K35 ⊕ K36 ⊕ K57; [1]=K12 ⊕ K14 ⊕ K34 ⊕ K35 ⊕ K56; [2]=K11 ⊕ K13 ⊕ K33 ⊕ K34 ⊕ K55; [3]=K10 ⊕ K12 ⊕ K32 ⊕ K33 ⊕ K54; [4]=K9 ⊕ K11 ⊕ K31 ⊕ K32 ⊕ K53; [5]=K8 ⊕ K10 ⊕ K30 ⊕ K31 ⊕ K52; [6]=K7 ⊕ K9 ⊕ K29 ⊕ K30 ⊕ K51; [7]=K6 ⊕ K8 ⊕ K28 ⊕ K29 ⊕ K50; [8]=K5 ⊕ K7 ⊕ K27 ⊕ K28 ⊕ K49; [9]=K4 ⊕ K6 ⊕ K26 ⊕ K27 ⊕ K48; [10]=K3 ⊕ K5 ⊕ K25 ⊕ K26 ⊕ K47; [11]=K2 ⊕ K4 ⊕ K24 ⊕ K25 ⊕ K46; [12]=K1 ⊕ K3 ⊕ K23 ⊕ K24 ⊕ K45; [13]=K0 ⊕ K2 ⊕ K22 ⊕ K23 ⊕ K44; [14]=K1 ⊕ K21 ⊕ K22 ⊕ K43; [15]=K0 ⊕ K20 ⊕ K21 ⊕ K42; [16]=K19 ⊕ K20 ⊕ K41; [17]=K18 ⊕ K19 ⊕ K40; [18]=K17 ⊕ K18 ⊕ K39; [19]=K16 ⊕ K17 ⊕ K38; [20]=K15 ⊕ K16 ⊕ K37; [21]=K14 ⊕ K15 ⊕ K36
[0]=K14 ⊕ K16 ⊕ K36 ⊕ K37 ⊕ K58; [1]=K13 ⊕ K15 ⊕ K35 ⊕ K36 ⊕ K57; [2]=K12 ⊕ K14 ⊕ K34 ⊕ K35 ⊕ K56; [3]=K11 ⊕ K13 ⊕ K33 ⊕ K34 ⊕ K55; [4]=K10 ⊕ K12 ⊕ K32 ⊕ K33 ⊕ K54; [5]=K9 ⊕ K11 ⊕ K31 ⊕ K32 ⊕ K53; [6]=K8 ⊕ K10 ⊕ K30 ⊕ K31 ⊕ K52; [7]=K7 ⊕ K9 ⊕ K29 ⊕ K30 ⊕ K51; [8]=K6 ⊕ K8 ⊕ K28 ⊕ K29 ⊕ K50; [9]=K5 ⊕ K7 ⊕ K27 ⊕ K28 ⊕ K49; [10]=K4 ⊕ K6 ⊕ K26 ⊕ K27 ⊕ K48; [11]=K3 ⊕ K5 ⊕ K25 ⊕ K26 ⊕ K47; [12]=K2 ⊕ K4 ⊕ K24 ⊕ K25 ⊕ K46; [13]=K1 ⊕ K3 ⊕ K23 ⊕ K24 ⊕ K45; [14]=K0 ⊕ K2 ⊕ K22 ⊕ K23 ⊕ K44; [15]=K1 ⊕ K21 ⊕ K22 ⊕ K43; [16]=K0 ⊕ K20 ⊕ K21 ⊕ K42; [17]=K19 ⊕ K20 ⊕ K41; [18]=K18 ⊕ K19 ⊕ K40; [19]=K17 ⊕ K18 ⊕ K39; [20]=K16 ⊕ K17 ⊕ K38; [21]=K15 ⊕ K16 ⊕ K37
[0]=K15 ⊕ K17 ⊕ K37 ⊕ K38 ⊕ K59; [1]=K14 ⊕ K16 ⊕ K36 ⊕ K37 ⊕ K58; [2]=K13 ⊕ K15 ⊕ K35 ⊕ K36 ⊕ K57; [3]=K12 ⊕ K14 ⊕ K34 ⊕ K35 ⊕ K56; [4]=K11 ⊕ K13 ⊕ K33 ⊕ K34 ⊕ K55; [5]=K10 ⊕ K12 ⊕ K32 ⊕ K33 ⊕ K54; [6]=K9 ⊕ K11 ⊕ K31 ⊕ K32 ⊕ K53; [7]=K8 ⊕ K10 ⊕ K30 ⊕ K31 ⊕ K52; [8]=K7 ⊕ K9 ⊕ K29 ⊕ K30 ⊕ K51; [9]=K6 ⊕ K8 ⊕ K28 ⊕ K29 ⊕ K50; [10]=K5 ⊕ K7 ⊕ K27 ⊕ K28 ⊕ K49; [11]=K4 ⊕ K6 ⊕ K26 ⊕ K27 ⊕ K48; [12]=K3 ⊕ K5 ⊕ K25 ⊕ K26 ⊕ K47; [13]=K2 ⊕ K4 ⊕ K24 ⊕ K25 ⊕ K46; [14]=K1 ⊕ K3 ⊕ K23 ⊕ K24 ⊕ K45; [15]=K0 ⊕ K2 ⊕ K22 ⊕ K23 ⊕ K44; [16]=K1 ⊕ K21 ⊕ K22 ⊕ K43; [17]=K0 ⊕ K20 ⊕ K21 ⊕ K42; [18]=K19 ⊕ K20 ⊕ K41; [19]=K18 ⊕ K19 ⊕ K40; [20]=K17 ⊕ K18 ⊕ K39; [21]=K16 ⊕ K17 ⊕ K38
[0]=K16 ⊕ K18 ⊕ K38 ⊕ K39 ⊕ K60; [1]=K15 ⊕ K17 ⊕ K37 ⊕ K38 ⊕ K59; [2]=K14 ⊕ K16 ⊕ K36 ⊕ K37 ⊕ K58; [3]=K13 ⊕ K15 ⊕ K35 ⊕ K36 ⊕ K57; [4]=K12 ⊕ K14 ⊕ K34 ⊕ K35 ⊕ K56; [5]=K11 ⊕ K13 ⊕ K33 ⊕ K34 ⊕ K55; [6]=K10 ⊕ K12 ⊕ K32 ⊕ K33 ⊕ K54; [7]=K9 ⊕ K11 ⊕ K31 ⊕ K32 ⊕ K53; [8]=K8 ⊕ K10 ⊕ K30 ⊕ K31 ⊕ K52; [9]=K7 ⊕ K9 ⊕ K29 ⊕ K30 ⊕ K51; [10]=K6 ⊕ K8 ⊕ K28 ⊕ K29 ⊕ K50; [11]=K5 ⊕ K7 ⊕ K27 ⊕ K28 ⊕ K49; [12]=K4 ⊕ K6 ⊕ K26 ⊕ K27 ⊕ K48; [13]=K3 ⊕ K5 ⊕ K25 ⊕ K26 ⊕ K47; [14]=K2 ⊕ K4 ⊕ K24 ⊕ K25 ⊕ K46; [15]=K1 ⊕ K3 ⊕ K23 ⊕ K24 ⊕ K45; [16]=K0 ⊕ K2 ⊕ K22 ⊕ K23 ⊕ K44; [17]=K1 ⊕ K21 ⊕ K22 ⊕ K43; [18]=K0 ⊕ K20 ⊕ K21 ⊕ K42; [19]=K19 ⊕ K20 ⊕ K41; [20]=K18 ⊕ K19 ⊕ K40; [21]=K17 ⊕ K18 ⊕ K39
[0]=K17 ⊕ K19 ⊕ K39 ⊕ K40 ⊕ K61; [1]=K16 ⊕ K18 ⊕ K38 ⊕ K39 ⊕ K60; [2]=K15 ⊕ K17 ⊕ K37 ⊕ K38 ⊕ K59; [3]=K14 ⊕ K16 ⊕ K36 ⊕ K37 ⊕ K58; [4]=K13 ⊕ K15 ⊕ K35 ⊕ K36 ⊕ K57; [5]=K12 ⊕ K14 ⊕ K34 ⊕ K35 ⊕ K56; [6]=K11 ⊕ K13 ⊕ K33 ⊕ K34 ⊕ K55; [7]=K10 ⊕ K12 ⊕ K32 ⊕ K33 ⊕ K54; [8]=K9 ⊕ K11 ⊕ K31 ⊕ K32 ⊕ K53; [9]=K8 ⊕ K10 ⊕ K30 ⊕ K31 ⊕ K52; [10]=K7 ⊕ K9 ⊕ K29 ⊕ K30 ⊕ K51; [11]=K6 ⊕ K8 ⊕ K28 ⊕ K29 ⊕ K50; [12]=K5 ⊕ K7 ⊕ K27 ⊕ K28 ⊕ K49; [13]=K4 ⊕ K6 ⊕ K26 ⊕ K27 ⊕ K48; [14]=K3 ⊕ K5 ⊕ K25 ⊕ K26 ⊕ K47; [15]=K2 ⊕ K4 ⊕ K24 ⊕ K25 ⊕ K46; [16]=K1 ⊕ K3 ⊕ K23 ⊕ K24 ⊕ K45; [17]=K0 ⊕ K2 ⊕ K22 ⊕ K23 ⊕ K44; [18]=K1 ⊕ K21 ⊕ K22 ⊕ K43; [19]=K0 ⊕ K20 ⊕ K21 ⊕ K42; [20]=K19 ⊕ K20 ⊕ K41; [21]=K18 ⊕ K19 ⊕ K40
[0]=K18 ⊕ K20 ⊕ K40 ⊕ K41 ⊕ K62; [1]=K17 ⊕ K19 ⊕ K39 ⊕ K40 ⊕ K61; [2]=K16 ⊕ K18 ⊕ K38 ⊕ K39 ⊕ K60; [3]=K15 ⊕ K17 ⊕ K37 ⊕ K38 ⊕ K59; [4]=K14 ⊕ K16 ⊕ K36 ⊕ K37 ⊕ K58; [5]=K13 ⊕ K15 ⊕ K35 ⊕ K36 ⊕ K57; [6]=K12 ⊕ K14 ⊕ K34 ⊕ K35 ⊕ K56; [7]=K11 ⊕ K13 ⊕ K33 ⊕ K34 ⊕ K55; [8]=K10 ⊕ K12 ⊕ K32 ⊕ K33 ⊕ K54; [9]=K9 ⊕ K11 ⊕ K31 ⊕ K32 ⊕ K53; [10]=K8 ⊕ K10 ⊕ K30 ⊕ K31 ⊕ K52; [11]=K7 ⊕ K9 ⊕ K29 ⊕ K30 ⊕ K51; [12]=K6 ⊕ K8 ⊕ K28 ⊕ K29 ⊕ K50; [13]=K5 ⊕ K7 ⊕ K27 ⊕ K28 ⊕ K49; [14]=K4 ⊕ K6 ⊕ K26 ⊕ K27 ⊕ K48; [15]=K3 ⊕ K5 ⊕ K25 ⊕ K26 ⊕ K47; [16]=K2 ⊕ K4 ⊕ K24 ⊕ K25 ⊕ K46; [17]=K1 ⊕ K3 ⊕ K23 ⊕ K24 ⊕ K45; [18]=K0 ⊕ K2 ⊕ K22 ⊕ K23 ⊕ K44; [19]=K1 ⊕ K21 ⊕ K22 ⊕ K43; [20]=K0 ⊕ K20 ⊕ K21 ⊕ K42; [21]=K19 ⊕ K20 ⊕ K41
